Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
326,5,1999.0,3999.0,50.01250313,3.9,3492.0,280,4,20,11,1,22.0,1,13,0
327,5,1999.0,4999.0,60.0120024,4.1,717.0,258,4,3,11,1,8.0,1,16,0
328,5,2799.0,3999.0,30.00750188,4.1,7586.0,276,5,2,11,1,8.0,1,15,0
329,5,3299.0,6999.0,52.86469496,3.9,345.0,243,5,3,11,1,22.0,1,15,0
330,5,3999.0,6999.0,42.86326618,4.1,663.0,278,0,3,11,1,22.0,1,11,0
331,5,2699.0,5999.0,55.00916819,3.3,222.0,242,5,11,11,1,22.0,1,16,0
332,5,5999.0,6999.0,14.28775539,4.2,13.0,195,0,2,11,1,22.0,1,10,3
333,5,5999.0,6999.0,14.28775539,4.2,13.0,194,0,11,11,1,22.0,1,10,3
334,5,3999.0,5999.0,33.33888981,4.2,42860.0,58,4,11,11,1,22.0,1,15,3
335,5,3999.0,5999.0,33.33888981,4.2,42860.0,59,4,2,11,1,22.0,1,15,3
336,5,2499.0,3999.0,37.50937734,3.6,70.0,248,5,2,8,1,22.0,1,14,0
337,10,1199.0,4499.0,73.34963325,4.7,1014.0,132,5,3,11,1,22.0,1,15,0
338,10,1799.0,5999.0,70.01166861,4.2,4813.0,138,5,11,11,1,3.5,1,1,0
339,10,1299.0,5499.0,76.37752319,3.8,3137.0,131,5,2,11,1,3.5,1,1,0
340,10,2799.0,8999.0,68.89654406,4.0,1994.0,133,0,2,11,1,3.5,1,11,3
341,10,1999.0,5999.0,66.67777963,4.0,1178.0,29,5,11,11,1,8.0,1,16,0
342,10,3499.0,8999.0,61.11790199,3.7,475.0,134,0,2,4,1,3.5,1,10,0
343,10,1999.0,6999.0,71.43877697,3.8,927.0,137,5,3,11,1,22.0,1,16,0
344,10,2399.0,5499.0,56.37388616,5.0,3.0,95,5,5,11,1,3.5,1,16,4
345,10,2799.0,6999.0,60.00857265,4.3,7.0,135,0,5,11,1,3.5,1,10,0
346,10,2199.0,5999.0,63.34389065,3.5,10.0,140,5,2,11,1,3.5,1,14,0
